epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,32901.7,1.38305,2.44529,0.65252,0.82534,0.592,0.6856,0.39372,1.34603,2.32023,0.63682,0.004357,0.004357,0.004357
116,33185.9,1.38736,2.44273,0.64941,0.80684,0.60634,0.68436,0.39173,1.34585,2.31915,0.63651,0.0043075,0.0043075,0.0043075
117,33470.6,1.38188,2.42826,0.65154,0.81627,0.6027,0.68449,0.39338,1.34152,2.30914,0.63535,0.004258,0.004258,0.004258
118,33755.2,1.3838,2.43091,0.65114,0.81425,0.60515,0.68786,0.3934,1.34639,2.31724,0.63574,0.0042085,0.0042085,0.0042085
119,34040.3,1.38732,2.4375,0.65012,0.80242,0.60809,0.68848,0.39374,1.3482,2.33318,0.63665,0.004159,0.004159,0.004159
120,34324.9,1.38107,2.42969,0.64972,0.79958,0.61264,0.69061,0.39656,1.33518,2.31233,0.63447,0.0041095,0.0041095,0.0041095
121,34610.3,1.36829,2.40953,0.64945,0.80492,0.61076,0.69021,0.3965,1.3429,2.30458,0.63661,0.00406,0.00406,0.00406
122,34896.1,1.3747,2.425,0.6502,0.79655,0.61666,0.69075,0.39486,1.34255,2.29362,0.63716,0.0040105,0.0040105,0.0040105
123,35180.2,1.37465,2.43651,0.65111,0.79402,0.61216,0.68818,0.39566,1.3378,2.28789,0.6363,0.003961,0.003961,0.003961
124,35465,1.36675,2.40277,0.64976,0.79307,0.6149,0.68744,0.39489,1.34876,2.30577,0.63888,0.0039115,0.0039115,0.0039115
125,35750.8,1.36335,2.40642,0.64652,0.8055,0.60696,0.68667,0.39278,1.35031,2.31843,0.63978,0.003862,0.003862,0.003862
126,36038,1.36896,2.41661,0.64812,0.79538,0.61173,0.68715,0.39414,1.33523,2.29733,0.63758,0.0038125,0.0038125,0.0038125
127,36323.8,1.35863,2.37435,0.64656,0.79473,0.61243,0.69008,0.39633,1.33125,2.29789,0.63846,0.003763,0.003763,0.003763
128,36610,1.36109,2.37593,0.64549,0.78519,0.61439,0.69121,0.39608,1.33789,2.2929,0.6386,0.0037135,0.0037135,0.0037135
129,36895.7,1.35677,2.37953,0.64851,0.78175,0.61491,0.68848,0.39637,1.3358,2.29786,0.63816,0.003664,0.003664,0.003664
130,37181.1,1.35356,2.37563,0.64804,0.82138,0.59337,0.68546,0.3953,1.33622,2.30097,0.6359,0.0036145,0.0036145,0.0036145
131,37467.2,1.37233,2.39101,0.64892,0.81456,0.59969,0.68665,0.3969,1.33653,2.29086,0.63508,0.003565,0.003565,0.003565
132,37754.6,1.35893,2.36877,0.64542,0.78624,0.61864,0.68756,0.39579,1.34023,2.29052,0.6359,0.0035155,0.0035155,0.0035155
133,38040,1.36344,2.3697,0.64684,0.80959,0.60161,0.68481,0.39551,1.33745,2.28325,0.63693,0.003466,0.003466,0.003466
134,38326,1.35637,2.36085,0.64689,0.8113,0.60709,0.69135,0.39737,1.33584,2.27438,0.63697,0.0034165,0.0034165,0.0034165
135,38611.8,1.3542,2.35653,0.64504,0.80512,0.61451,0.69092,0.39754,1.34023,2.28143,0.63676,0.003367,0.003367,0.003367
136,38897.5,1.34067,2.3305,0.64308,0.80439,0.61347,0.69327,0.39765,1.34341,2.27449,0.63725,0.0033175,0.0033175,0.0033175
137,39183.7,1.34765,2.33125,0.64223,0.81579,0.60833,0.69189,0.39734,1.33895,2.28561,0.63698,0.003268,0.003268,0.003268
138,39470.3,1.35298,2.37035,0.64664,0.8107,0.61399,0.69207,0.39873,1.33024,2.28533,0.63625,0.0032185,0.0032185,0.0032185
139,39756.9,1.35086,2.3363,0.64384,0.80442,0.61138,0.69098,0.39797,1.32982,2.27167,0.63571,0.003169,0.003169,0.003169
140,40042.6,1.34621,2.32554,0.64311,0.80939,0.61521,0.69392,0.3999,1.32544,2.26909,0.63511,0.0031195,0.0031195,0.0031195
141,40328,1.33837,2.32218,0.64259,0.80077,0.62014,0.69505,0.40129,1.32654,2.26453,0.63495,0.00307,0.00307,0.00307
142,40613.5,1.33005,2.2922,0.63938,0.79531,0.61944,0.69505,0.40072,1.33057,2.25707,0.63482,0.0030205,0.0030205,0.0030205
143,40899,1.35448,2.3593,0.64287,0.79906,0.61964,0.69652,0.40091,1.32857,2.2682,0.63492,0.002971,0.002971,0.002971
144,41185.4,1.34294,2.33069,0.64295,0.79652,0.62549,0.6978,0.40239,1.32677,2.27818,0.63562,0.0029215,0.0029215,0.0029215
145,41475.2,1.33921,2.30938,0.64005,0.79635,0.62298,0.69747,0.40193,1.32445,2.28977,0.63587,0.002872,0.002872,0.002872
146,41762,1.32961,2.2898,0.6409,0.80016,0.61622,0.69558,0.40092,1.32636,2.28381,0.63549,0.0028225,0.0028225,0.0028225
147,42048.1,1.32973,2.27077,0.63995,0.78917,0.62086,0.69502,0.40147,1.32735,2.28057,0.63545,0.002773,0.002773,0.002773
148,42333.7,1.32807,2.28374,0.64066,0.79419,0.61471,0.69414,0.40176,1.32551,2.28337,0.63412,0.0027235,0.0027235,0.0027235
149,42619.4,1.3283,2.28953,0.63683,0.79658,0.61206,0.69479,0.40284,1.32326,2.27919,0.63427,0.002674,0.002674,0.002674
150,42904.8,1.33147,2.29453,0.63874,0.79064,0.61748,0.69452,0.40282,1.32383,2.28064,0.63415,0.0026245,0.0026245,0.0026245
151,43190.5,1.31979,2.25632,0.63858,0.79469,0.61511,0.69614,0.40469,1.31636,2.26979,0.6321,0.002575,0.002575,0.002575
152,43475.7,1.31366,2.25293,0.63722,0.79362,0.61707,0.69498,0.40392,1.31525,2.267,0.63293,0.0025255,0.0025255,0.0025255
153,43761.5,1.32435,2.25742,0.6378,0.79553,0.61742,0.69532,0.40258,1.32001,2.28051,0.63377,0.002476,0.002476,0.002476
154,44047.1,1.31878,2.25582,0.6365,0.80078,0.61467,0.69543,0.40399,1.31864,2.28199,0.63335,0.0024265,0.0024265,0.0024265
155,44332.8,1.32032,2.26495,0.63765,0.7965,0.61696,0.69527,0.40383,1.32142,2.28615,0.63357,0.002377,0.002377,0.002377
156,44618.4,1.31671,2.26429,0.63679,0.79332,0.6192,0.69556,0.4032,1.32016,2.27586,0.63323,0.0023275,0.0023275,0.0023275
157,44905.1,1.31641,2.2637,0.63885,0.79305,0.6195,0.69548,0.40419,1.31974,2.26955,0.63248,0.002278,0.002278,0.002278
158,45190,1.31046,2.21912,0.63737,0.79643,0.62135,0.69702,0.40592,1.31602,2.26419,0.63209,0.0022285,0.0022285,0.0022285
159,45476.1,1.31718,2.24783,0.63714,0.80049,0.61655,0.69676,0.40569,1.31849,2.26342,0.63295,0.002179,0.002179,0.002179
160,45762,1.30927,2.22644,0.63389,0.80133,0.61713,0.69799,0.4066,1.31733,2.26078,0.63232,0.0021295,0.0021295,0.0021295
161,46047.4,1.30292,2.23252,0.63426,0.80298,0.61318,0.69881,0.4071,1.32124,2.2596,0.63361,0.00208,0.00208,0.00208
162,46332.8,1.30458,2.21285,0.6344,0.7981,0.61511,0.6991,0.40579,1.31844,2.26093,0.63307,0.0020305,0.0020305,0.0020305
163,46618.2,1.29657,2.18807,0.63184,0.80406,0.61223,0.69851,0.40678,1.31773,2.25772,0.6324,0.001981,0.001981,0.001981
164,46904.1,1.29951,2.18822,0.63325,0.80144,0.6133,0.69739,0.40606,1.32035,2.25728,0.63326,0.0019315,0.0019315,0.0019315
165,47191.7,1.29909,2.20547,0.63517,0.80832,0.60897,0.69732,0.4063,1.31859,2.25655,0.63352,0.001882,0.001882,0.001882
166,47477.2,1.30543,2.2218,0.63406,0.80696,0.6135,0.69847,0.40639,1.31686,2.25677,0.63288,0.0018325,0.0018325,0.0018325
167,47763,1.30725,2.2111,0.63394,0.79713,0.61801,0.69857,0.40632,1.31664,2.2556,0.63264,0.001783,0.001783,0.001783
168,48049.3,1.29697,2.18229,0.63398,0.80047,0.61755,0.69926,0.40568,1.31777,2.25318,0.63278,0.0017335,0.0017335,0.0017335
169,48334.9,1.2965,2.19054,0.63262,0.80462,0.61661,0.70011,0.40517,1.31764,2.25093,0.63298,0.001684,0.001684,0.001684
170,48621.4,1.29834,2.19379,0.6322,0.79591,0.62049,0.69994,0.40609,1.31584,2.25055,0.63283,0.0016345,0.0016345,0.0016345
171,48906.6,1.2829,2.15297,0.63006,0.79798,0.62122,0.70108,0.40717,1.31223,2.25058,0.63196,0.001585,0.001585,0.001585
172,49192.7,1.29454,2.18614,0.63123,0.79904,0.6196,0.70066,0.40681,1.31151,2.25115,0.63217,0.0015355,0.0015355,0.0015355
173,49477.6,1.28476,2.16909,0.63208,0.80493,0.61865,0.70014,0.40855,1.30793,2.25345,0.6321,0.001486,0.001486,0.001486
174,49762.4,1.27605,2.14854,0.63009,0.81334,0.61301,0.70123,0.40897,1.30608,2.25041,0.63179,0.0014365,0.0014365,0.0014365
175,50048.2,1.2896,2.17945,0.62982,0.81795,0.61409,0.70061,0.40894,1.30427,2.24954,0.6312,0.001387,0.001387,0.001387
176,50333.1,1.28855,2.16724,0.62836,0.82089,0.61337,0.69975,0.40905,1.30294,2.25521,0.63081,0.0013375,0.0013375,0.0013375
177,50619.2,1.28054,2.1557,0.62871,0.81772,0.61366,0.69891,0.40998,1.29955,2.25915,0.63012,0.001288,0.001288,0.001288
178,50906,1.28535,2.16364,0.62922,0.81908,0.6099,0.70077,0.41042,1.2972,2.26007,0.62941,0.0012385,0.0012385,0.0012385
179,51192.2,1.28029,2.1422,0.63009,0.82033,0.61067,0.70101,0.41009,1.29691,2.25144,0.62938,0.001189,0.001189,0.001189
180,51478,1.27066,2.13444,0.62873,0.81943,0.61011,0.7019,0.41069,1.29563,2.25212,0.62911,0.0011395,0.0011395,0.0011395
181,51763.7,1.27144,2.12814,0.62772,0.81794,0.61104,0.70194,0.41114,1.29378,2.25374,0.62911,0.00109,0.00109,0.00109
182,52049.4,1.27663,2.14373,0.62961,0.81901,0.61053,0.70232,0.41102,1.29542,2.25475,0.62936,0.0010405,0.0010405,0.0010405
183,52334.9,1.26846,2.10772,0.62887,0.81834,0.61199,0.70227,0.41062,1.29448,2.25189,0.62929,0.000991,0.000991,0.000991
184,52620.9,1.26538,2.09714,0.62546,0.81616,0.61279,0.70243,0.41127,1.29337,2.24783,0.62915,0.0009415,0.0009415,0.0009415
