epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,34289.5,1.53628,3.08144,0.71782,0.79997,0.61776,0.70135,0.38299,1.47275,2.60204,0.68224,0.004951,0.004951,0.004951
104,34557.4,1.53577,3.02901,0.71666,0.80975,0.60912,0.69887,0.38253,1.47243,2.59665,0.68178,0.0049015,0.0049015,0.0049015
105,34825.1,1.5211,3.0024,0.71171,0.78828,0.62617,0.69815,0.38397,1.462,2.58576,0.67985,0.004852,0.004852,0.004852
106,35093.1,1.53446,3.01529,0.71415,0.78727,0.62835,0.69744,0.38223,1.47104,2.60222,0.68288,0.0048025,0.0048025,0.0048025
107,35360.6,1.53201,3.01512,0.71519,0.79421,0.62733,0.70113,0.38178,1.46207,2.59507,0.68218,0.004753,0.004753,0.004753
108,35628.3,1.53294,3.01998,0.71517,0.80097,0.62478,0.70326,0.38733,1.45885,2.58553,0.68113,0.0047035,0.0047035,0.0047035
109,35896.4,1.5321,3.02237,0.71446,0.80428,0.61731,0.70035,0.38667,1.46449,2.5968,0.68197,0.004654,0.004654,0.004654
110,36163.9,1.52442,2.99312,0.71116,0.7962,0.62069,0.70139,0.38537,1.47803,2.60446,0.68217,0.0046045,0.0046045,0.0046045
111,36431,1.5283,3.00746,0.71177,0.79561,0.63044,0.70378,0.38561,1.46932,2.57542,0.68341,0.004555,0.004555,0.004555
112,36697.4,1.52757,3.01793,0.71521,0.7962,0.62588,0.70095,0.38645,1.45938,2.57675,0.68121,0.0045055,0.0045055,0.0045055
113,36964,1.51248,2.96081,0.71083,0.79274,0.62487,0.70197,0.38705,1.46205,2.5829,0.68054,0.004456,0.004456,0.004456
114,37230.6,1.51755,2.99291,0.7107,0.79343,0.62464,0.70427,0.38471,1.46932,2.56862,0.68165,0.0044065,0.0044065,0.0044065
115,37497.2,1.51063,2.95087,0.70946,0.79124,0.63171,0.70529,0.38615,1.46545,2.56328,0.68171,0.004357,0.004357,0.004357
116,37764.9,1.51391,2.9673,0.7062,0.78808,0.62988,0.70051,0.38298,1.46705,2.5887,0.68075,0.0043075,0.0043075,0.0043075
117,38032.2,1.5139,2.93612,0.71038,0.80161,0.62686,0.7062,0.38703,1.45973,2.58165,0.68012,0.004258,0.004258,0.004258
118,38299.2,1.51608,2.93132,0.71075,0.78779,0.63014,0.70382,0.38699,1.46388,2.57219,0.68083,0.0042085,0.0042085,0.0042085
119,38565.7,1.52549,2.97235,0.70726,0.78499,0.63663,0.70338,0.38825,1.46248,2.57444,0.68006,0.004159,0.004159,0.004159
120,38832.2,1.51413,2.94387,0.70621,0.77978,0.64072,0.70491,0.38879,1.45385,2.58097,0.67834,0.0041095,0.0041095,0.0041095
121,39098.9,1.50638,2.92374,0.70848,0.78398,0.63084,0.7046,0.38759,1.45769,2.57111,0.67786,0.00406,0.00406,0.00406
122,39366,1.51073,2.93647,0.70852,0.79105,0.63444,0.70502,0.39041,1.45275,2.57281,0.6769,0.0040105,0.0040105,0.0040105
123,39632.8,1.51282,2.95361,0.71061,0.79606,0.63088,0.70502,0.39091,1.4386,2.57005,0.67575,0.003961,0.003961,0.003961
124,39899.5,1.50767,2.92134,0.70968,0.79047,0.63914,0.70712,0.392,1.44935,2.57151,0.6771,0.0039115,0.0039115,0.0039115
125,40166.8,1.49898,2.92743,0.70286,0.79686,0.63659,0.70874,0.39265,1.45386,2.56195,0.67729,0.003862,0.003862,0.003862
126,40434.9,1.5153,2.9555,0.70953,0.79719,0.63352,0.70885,0.39239,1.44419,2.54728,0.67646,0.0038125,0.0038125,0.0038125
127,40701.6,1.49834,2.90545,0.70485,0.7916,0.63981,0.70792,0.39229,1.44175,2.55109,0.67539,0.003763,0.003763,0.003763
128,40968.9,1.50419,2.90087,0.70447,0.79026,0.63436,0.70933,0.39012,1.45199,2.55255,0.67667,0.0037135,0.0037135,0.0037135
129,41236.7,1.50151,2.90915,0.70604,0.80251,0.62542,0.70739,0.39236,1.44476,2.53696,0.67535,0.003664,0.003664,0.003664
130,41503.8,1.48904,2.87849,0.70502,0.79315,0.62724,0.70613,0.38883,1.45119,2.53153,0.67729,0.0036145,0.0036145,0.0036145
131,41795.2,1.51218,2.91068,0.70851,0.80417,0.62636,0.7077,0.38956,1.4615,2.5397,0.67869,0.003565,0.003565,0.003565
132,42062.7,1.49961,2.90007,0.70149,0.79909,0.62845,0.70802,0.38737,1.4644,2.55113,0.67815,0.0035155,0.0035155,0.0035155
133,42330.4,1.49812,2.87522,0.70444,0.8007,0.63268,0.70934,0.38752,1.46191,2.55072,0.6774,0.003466,0.003466,0.003466
134,42597.7,1.49659,2.89115,0.70525,0.79406,0.6368,0.70828,0.3893,1.45659,2.54165,0.67666,0.0034165,0.0034165,0.0034165
135,42865.5,1.49407,2.8766,0.70527,0.78982,0.63924,0.70991,0.39054,1.45226,2.53984,0.67627,0.003367,0.003367,0.003367
136,43133,1.48409,2.83523,0.70139,0.80125,0.63486,0.71109,0.39196,1.45842,2.5466,0.67651,0.0033175,0.0033175,0.0033175
137,43401,1.49509,2.86435,0.70144,0.80492,0.63052,0.71141,0.39247,1.45541,2.53214,0.67701,0.003268,0.003268,0.003268
138,43668.6,1.49371,2.87407,0.70493,0.79347,0.6356,0.7128,0.39352,1.44211,2.52079,0.67517,0.0032185,0.0032185,0.0032185
139,43936.7,1.4952,2.85862,0.70469,0.78589,0.64515,0.71398,0.39376,1.44432,2.51514,0.67472,0.003169,0.003169,0.003169
140,44205,1.48772,2.84006,0.70273,0.79791,0.63665,0.71257,0.39313,1.44656,2.51648,0.67523,0.0031195,0.0031195,0.0031195
141,44471.9,1.48735,2.85254,0.70275,0.80372,0.63509,0.71211,0.39416,1.44192,2.50973,0.67499,0.00307,0.00307,0.00307
142,44740,1.48111,2.82539,0.69867,0.80119,0.64065,0.71206,0.39372,1.44675,2.51697,0.67597,0.0030205,0.0030205,0.0030205
143,45007,1.4916,2.87295,0.70016,0.78972,0.6419,0.71377,0.39368,1.44897,2.52932,0.67632,0.002971,0.002971,0.002971
144,45274.6,1.49226,2.82986,0.70243,0.79433,0.6406,0.71241,0.3935,1.44974,2.51617,0.67675,0.0029215,0.0029215,0.0029215
145,45543.2,1.48789,2.81934,0.69848,0.79329,0.64332,0.71234,0.39354,1.44353,2.52681,0.67508,0.002872,0.002872,0.002872
146,45810.4,1.47883,2.80695,0.69917,0.79455,0.63987,0.71098,0.39427,1.44022,2.52801,0.67447,0.0028225,0.0028225,0.0028225
147,46078.6,1.47669,2.81488,0.69795,0.79484,0.64066,0.70976,0.3949,1.43898,2.51828,0.67482,0.002773,0.002773,0.002773
148,46346.1,1.46987,2.79898,0.69835,0.79308,0.64211,0.71052,0.39501,1.4359,2.50784,0.67489,0.0027235,0.0027235,0.0027235
149,46614.2,1.47983,2.81804,0.69828,0.79752,0.63846,0.71073,0.39449,1.4422,2.50648,0.67604,0.002674,0.002674,0.002674
150,46890.4,1.48113,2.81629,0.69822,0.7975,0.63887,0.70978,0.39581,1.43608,2.50756,0.67543,0.0026245,0.0026245,0.0026245
151,47166.4,1.47355,2.78059,0.70012,0.80111,0.63533,0.71141,0.39667,1.43423,2.50334,0.67519,0.002575,0.002575,0.002575
152,47442.6,1.46952,2.76565,0.69581,0.80575,0.63212,0.7114,0.39609,1.43516,2.50217,0.67457,0.0025255,0.0025255,0.0025255
153,47711.1,1.48235,2.78981,0.69688,0.8024,0.6332,0.71179,0.39569,1.43786,2.50024,0.67449,0.002476,0.002476,0.002476
