epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,136931,1.02481,0.58682,0.88241,0.81117,0.66173,0.73868,0.41086,1.49085,0.89681,1.01233,0.004159,0.004159,0.004159
120,138056,1.01511,0.58858,0.88807,0.82535,0.63612,0.74482,0.41842,1.46337,0.86618,1.00887,0.0041095,0.0041095,0.0041095
121,139180,1.01446,0.58646,0.89319,0.80389,0.6779,0.76385,0.42242,1.46076,0.87269,1.0102,0.00406,0.00406,0.00406
122,140304,1.02289,0.58208,0.89718,0.80596,0.66846,0.74515,0.41453,1.48605,0.88557,1.02317,0.0040105,0.0040105,0.0040105
123,141430,1.04188,0.61005,0.89721,0.80586,0.68464,0.75478,0.42407,1.46194,0.86591,1.01549,0.003961,0.003961,0.003961
124,142552,1.01132,0.58073,0.88613,0.80379,0.68194,0.75933,0.43065,1.44202,0.81744,1.0053,0.0039115,0.0039115,0.0039115
125,143674,1.01423,0.57365,0.88395,0.83071,0.65229,0.75293,0.42572,1.48385,0.86823,1.0266,0.003862,0.003862,0.003862
126,144797,1.00219,0.57302,0.88132,0.81705,0.6681,0.76194,0.42409,1.48778,0.86387,1.02421,0.0038125,0.0038125,0.0038125
127,145920,1.00172,0.57931,0.88756,0.81324,0.65903,0.754,0.4223,1.46302,0.86274,1.00553,0.003763,0.003763,0.003763
128,147044,1.00389,0.5752,0.88564,0.81355,0.65903,0.74041,0.41772,1.47205,0.86571,1.01039,0.0037135,0.0037135,0.0037135
129,148167,1.00639,0.57464,0.8892,0.79732,0.68329,0.75124,0.42628,1.44588,0.86787,0.99814,0.003664,0.003664,0.003664
130,149292,1.01219,0.58011,0.89025,0.8045,0.67105,0.74514,0.41679,1.48152,0.90249,1.00568,0.0036145,0.0036145,0.0036145
131,150415,1.01375,0.58206,0.88555,0.81845,0.65615,0.75211,0.42499,1.46658,0.87578,1.01323,0.003565,0.003565,0.003565
132,151538,1.00577,0.56985,0.88917,0.82997,0.65784,0.74743,0.41894,1.48112,0.89461,1.01314,0.0035155,0.0035155,0.0035155
133,152666,0.99675,0.57296,0.88842,0.82184,0.659,0.75392,0.43017,1.46042,0.88844,1.01695,0.003466,0.003466,0.003466
134,153794,0.9802,0.56122,0.88043,0.79084,0.65633,0.74694,0.42598,1.45783,0.88234,1.02025,0.0034165,0.0034165,0.0034165
135,154919,0.9804,0.55857,0.8831,0.81139,0.65515,0.75027,0.42502,1.47733,0.86907,1.02114,0.003367,0.003367,0.003367
136,156045,0.98881,0.56128,0.88471,0.77382,0.66981,0.73458,0.41867,1.46428,0.90539,1.01549,0.0033175,0.0033175,0.0033175
137,157173,0.95611,0.54066,0.87683,0.84776,0.6496,0.7475,0.42144,1.44746,0.86178,1.01121,0.003268,0.003268,0.003268
138,158309,0.97986,0.55899,0.87992,0.82079,0.66712,0.75108,0.4268,1.45725,0.85872,1.01987,0.0032185,0.0032185,0.0032185
139,159442,0.97142,0.55115,0.88417,0.84256,0.65229,0.74873,0.43024,1.45083,0.84581,1.01333,0.003169,0.003169,0.003169
140,160567,0.96808,0.55565,0.88023,0.80961,0.67116,0.7508,0.43626,1.42641,0.84612,1.0119,0.0031195,0.0031195,0.0031195
141,161696,0.96931,0.55573,0.8763,0.84962,0.67004,0.75971,0.43625,1.43278,0.85341,1.01201,0.00307,0.00307,0.00307
142,162828,0.97872,0.55461,0.87791,0.82346,0.67265,0.75232,0.43314,1.44056,0.85885,1.01653,0.0030205,0.0030205,0.0030205
143,163965,0.93695,0.53035,0.86777,0.88778,0.63477,0.75343,0.43301,1.43129,0.87816,1.00821,0.002971,0.002971,0.002971
144,165094,0.95578,0.53385,0.87198,0.81822,0.67942,0.75795,0.43802,1.39972,0.86365,1.00123,0.0029215,0.0029215,0.0029215
145,166213,0.94952,0.53192,0.87334,0.82002,0.66577,0.74995,0.43152,1.41673,0.86974,1.00686,0.002872,0.002872,0.002872
146,167338,0.94496,0.54244,0.87668,0.80806,0.66981,0.74575,0.4335,1.42188,0.87568,1.00706,0.0028225,0.0028225,0.0028225
